day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
0;0;DEMO_PEARLS;99;18;98;24;97;30;101;18;102;24;103;30;100;0
0;100;DEMO_PEARLS;100;18;99;24;98;30;102;18;103;24;104;30;101;0
0;200;DEMO_PEARLS;101;18;100;24;99;30;103;18;104;24;105;30;102;0
0;300;DEMO_PEARLS;102;18;101;24;100;30;104;18;105;24;106;30;103;0
0;400;DEMO_PEARLS;103;18;102;24;101;30;105;18;106;24;107;30;104;0
0;500;DEMO_PEARLS;95;18;94;24;93;30;97;18;98;24;99;30;96;0
0;600;DEMO_PEARLS;94;18;93;24;92;30;96;18;97;24;98;30;95;0
0;700;DEMO_PEARLS;95;18;94;24;93;30;97;18;98;24;99;30;96;0
0;800;DEMO_PEARLS;96;18;95;24;94;30;98;18;99;24;100;30;97;0
0;900;DEMO_PEARLS;101;18;100;24;99;30;103;18;104;24;105;30;102;0
0;1000;DEMO_PEARLS;104;18;103;24;102;30;106;18;107;24;108;30;105;0
0;1100;DEMO_PEARLS;105;18;104;24;103;30;107;18;108;24;109;30;106;0
0;1200;DEMO_PEARLS;103;18;102;24;101;30;105;18;106;24;107;30;104;0
0;1300;DEMO_PEARLS;100;18;99;24;98;30;102;18;103;24;104;30;101;0
0;1400;DEMO_PEARLS;98;18;97;24;96;30;100;18;101;24;102;30;99;0
0;1500;DEMO_PEARLS;97;18;96;24;95;30;99;18;100;24;101;30;98;0
0;1600;DEMO_PEARLS;99;18;98;24;97;30;101;18;102;24;103;30;100;0
0;1700;DEMO_PEARLS;102;18;101;24;100;30;104;18;105;24;106;30;103;0
0;1800;DEMO_PEARLS;104;18;103;24;102;30;106;18;107;24;108;30;105;0
0;1900;DEMO_PEARLS;103;18;102;24;101;30;105;18;106;24;107;30;104;0
